部屋名,定員
グループ学習室,通常定員:10
数理セミナー室,通常定員:50
1208教室,通常定員:0
1209教室,通常定員:0
1306教室,通常定員:0
1312教室,通常定員:0
1405教室,通常定員:0
1406B教室,通常定員:0
1409教室,通常定員:0
第1実習室,通常定員:22
第2実習室,通常定員:66
第2実習室A,通常定員:22
第2実習室B,通常定員:22
第2実習室C,通常定員:22
2121A教室,通常定員:0
2230教室,通常定員:0
2320教室,通常定員:0
2331教室,通常定員:27
2332教室,通常定員:27
2333教室,通常定員:27
2334教室,通常定員:27
233C教室,通常定員:48
2340教室,通常定員:0
234C教室,通常定員:0
第1実験棟,通常定員:0
241B教室,通常定員:20
3111教室,通常定員:40
3112教室,通常定員:40
3120教室,通常定員:129
3130教室,通常定員:129
3140教室,通常定員:129
3150教室,通常定員:129
3164教室,通常定員:0
3210教室,通常定員:253
3220教室,通常定員:129
3230教室,通常定員:129
3240教室,通常定員:129
3250教室,通常定員:129
3311教室,通常定員:96
3320教室,通常定員:129
3330教室,通常定員:129
3340教室,通常定員:129
3350教室,通常定員:129
3364教室,通常定員:0
6100A教室,通常定員:0
6101教室,通常定員:174
6102教室,通常定員:174
6103教室,通常定員:174
6104教室,通常定員:174
6200A教室,通常定員:0
6203A教室,通常定員:0
6203B教室,通常定員:0
6203C教室,通常定員:0
6306教室,通常定員:0
6330教室,通常定員:0
8101A教室,通常定員:0
8201教室,通常定員:180
8203教室,通常定員:232
8311教室,通常定員:27
8312教室,通常定員:0
8313教室,通常定員:27
9401教室,通常定員:40
9406教室,通常定員:38
115教室,通常定員:36
117教室,通常定員:180
プレゼンテーションホール,通常定員:952
第１メディア,通常定員:176
第２メディア,通常定員:231
206教室,通常定員:61
207教室,通常定員:61
208教室,通常定員:61
209教室,通常定員:61
210教室,通常定員:61
211教室,通常定員:61
212教室,通常定員:127
213教室,通常定員:61
124教室,通常定員:140
126教室,通常定員:63
127教室,通常定員:63
128教室,通常定員:63
生物環境実験室,通常定員:0
生命科学実験室,通常定員:0
共通実験室,通常定員:0
221教室,通常定員:132
224教室,通常定員:72
225教室,通常定員:66
226教室,通常定員:66
227教室,通常定員:66
228教室,通常定員:66
229教室,通常定員:66
321教室,通常定員:132
324教室,通常定員:72
325教室,通常定員:66
326教室,通常定員:66
327教室,通常定員:66
328教室,通常定員:66
329教室,通常定員:66
12426A教室,通常定員:0
12427教室,通常定員:0
12504教室,通常定員:0
